Sample Name	Protocol REF	Parameter Value[QA Instrument]	Extract Name	Protocol REF	Parameter Value[Library Kit]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
GSM8438330	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438330	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438330_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438330_R2_raw.fastq.gz	GeneLab raw data processing protocol	44112269	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438331	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438331	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438331_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438331_R2_raw.fastq.gz	GeneLab raw data processing protocol	27395971	read	SO	http://purl.obolibrary.org/obo/SO_0000150	17.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438332	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438332	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438332_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438332_R2_raw.fastq.gz	GeneLab raw data processing protocol	41084184	read	SO	http://purl.obolibrary.org/obo/SO_0000150	18.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438333	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438333	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438333_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438333_R2_raw.fastq.gz	GeneLab raw data processing protocol	42976705	read	SO	http://purl.obolibrary.org/obo/SO_0000150	15.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438334	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438334	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438334_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438334_R2_raw.fastq.gz	GeneLab raw data processing protocol	33290698	read	SO	http://purl.obolibrary.org/obo/SO_0000150	16.83	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438335	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438335	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438335_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438335_R2_raw.fastq.gz	GeneLab raw data processing protocol	35608584	read	SO	http://purl.obolibrary.org/obo/SO_0000150	15.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438336	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438336	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438336_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438336_R2_raw.fastq.gz	GeneLab raw data processing protocol	51429306	read	SO	http://purl.obolibrary.org/obo/SO_0000150	18.28	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438337	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438337	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438337_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438337_R2_raw.fastq.gz	GeneLab raw data processing protocol	44763424	read	SO	http://purl.obolibrary.org/obo/SO_0000150	20.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438338	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438338	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438338_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438338_R2_raw.fastq.gz	GeneLab raw data processing protocol	52756054	read	SO	http://purl.obolibrary.org/obo/SO_0000150	18.94	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
GSM8438339	Nucleic Acid Extraction	Agilent Bioanalyzer	GSM8438339	Library Construction	TruSeq RNA Library Prep Kit v2	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina HiSeq 4000	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-719_rna-seq_GSM8438339_R1_raw.fastq.gz, GLDS-719_rna-seq_GSM8438339_R2_raw.fastq.gz	GeneLab raw data processing protocol	50255528	read	SO	http://purl.obolibrary.org/obo/SO_0000150	17.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-719_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
