Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Derived Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM7469191	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469191	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469191_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469191_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	30883154	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.48	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469191_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469191_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469191_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469191_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469191_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469191_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469191_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469191_SJ.out.tab	GLDS-615_rna_seq_GSM7469191_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469191.genes.results,GLDS-615_rna_seq_GSM7469191.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469192	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469192	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469192_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469192_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	33342065	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469192_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469192_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469192_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469192_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469192_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469192_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469192_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469192_SJ.out.tab	GLDS-615_rna_seq_GSM7469192_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469192.genes.results,GLDS-615_rna_seq_GSM7469192.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469193	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469193	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469193_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469193_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	62681966	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469193_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469193_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469193_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469193_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469193_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469193_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469193_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469193_SJ.out.tab	GLDS-615_rna_seq_GSM7469193_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469193.genes.results,GLDS-615_rna_seq_GSM7469193.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469194	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469194	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469194_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469194_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	79577884	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.70	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469194_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469194_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469194_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469194_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469194_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469194_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469194_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469194_SJ.out.tab	GLDS-615_rna_seq_GSM7469194_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469194.genes.results,GLDS-615_rna_seq_GSM7469194.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469195	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469195	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469195_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469195_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	66912068	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.59	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469195_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469195_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469195_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469195_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469195_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469195_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469195_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469195_SJ.out.tab	GLDS-615_rna_seq_GSM7469195_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469195.genes.results,GLDS-615_rna_seq_GSM7469195.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469196	Nucleic Acid Extraction	Agilent 2200 Tapestation	9.0-9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469196	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469196_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469196_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	152262828	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469196_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469196_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469196_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469196_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469196_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469196_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469196_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469196_SJ.out.tab	GLDS-615_rna_seq_GSM7469196_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469196.genes.results,GLDS-615_rna_seq_GSM7469196.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469197	Nucleic Acid Extraction	Agilent 2200 Tapestation	7.2-9.0	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469197	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469197_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469197_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	45174169	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469197_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469197_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469197_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469197_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469197_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469197_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469197_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469197_SJ.out.tab	GLDS-615_rna_seq_GSM7469197_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469197.genes.results,GLDS-615_rna_seq_GSM7469197.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469198	Nucleic Acid Extraction	Agilent 2200 Tapestation	7.2-9.0	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469198	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469198_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469198_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	48854290	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469198_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469198_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469198_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469198_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469198_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469198_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469198_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469198_SJ.out.tab	GLDS-615_rna_seq_GSM7469198_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469198.genes.results,GLDS-615_rna_seq_GSM7469198.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469199	Nucleic Acid Extraction	Agilent 2200 Tapestation	7.2-9.0	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469199	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469199_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469199_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	47131216	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.58	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469199_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469199_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469199_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469199_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469199_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469199_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469199_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469199_SJ.out.tab	GLDS-615_rna_seq_GSM7469199_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469199.genes.results,GLDS-615_rna_seq_GSM7469199.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
GSM7469200	Nucleic Acid Extraction	Agilent 2200 Tapestation	7.2-9.0	RNA Integrity Number	OSD	https://osdr.nasa.gov/	GSM7469200	Library Construction	polyA enrichment	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-615_rna-seq_GSM7469200_R1_raw.fastq.gz, GLDS-615_rna-seq_GSM7469200_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-615_rna-seq_GSE234465_FPKM.txt	GeneLab raw data processing protocol	55767367	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-615_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-615_rna_seq_GSM7469200_R1_trimmed.fastq.gz,GLDS-615_rna_seq_GSM7469200_R2_trimmed.fastq.gz	GLDS-615_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469200_R1_raw.fastq.gz_trimming_report.txt,GLDS-615_rna_seq_GSM7469200_R2_raw.fastq.gz_trimming_report.txt	GLDS-615_rna_seq_GSM7469200_Aligned.sortedByCoord_sorted.out.bam,GLDS-615_rna_seq_GSM7469200_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-615_rna_seq_GSM7469200_Aligned.toTranscriptome.out.bam,GLDS-615_rna_seq_GSM7469200_SJ.out.tab	GLDS-615_rna_seq_GSM7469200_Log.final.out	GLDS-615_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-615_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_GSM7469200.genes.results,GLDS-615_rna_seq_GSM7469200.isoforms.results	GLDS-615_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-615_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-615_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-615_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-615_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-615_rna_seq_differential_expression_GLbulkRNAseq.csv
