Sample Name	Extract Name	Protocol REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Hybridization Assay Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Protocol REF	Normalization Name	Derived Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]	Parameter Value[differential expression analysis data]
GSM576002 extract 1	GSM576002 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM576002 LE 1	Cy3			nucleic acid hybridization	GSM576002	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM576002.txt	normalization data transformation	GSM576002_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM576001 extract 1	GSM576001 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM576001 LE 1	Cy3			nucleic acid hybridization	GSM576001	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM576001.txt	normalization data transformation	GSM576001_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM576000 extract 1	GSM576000 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM576000 LE 1	Cy3			nucleic acid hybridization	GSM576000	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM576000.txt	normalization data transformation	GSM576000_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575999 extract 1	GSM575999 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575999 LE 1	Cy3			nucleic acid hybridization	GSM575999	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575999.txt	normalization data transformation	GSM575999_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575998 extract 1	GSM575998 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575998 LE 1	Cy3			nucleic acid hybridization	GSM575998	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575998.txt	normalization data transformation	GSM575998_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575997 extract 1	GSM575997 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575997 LE 1	Cy3			nucleic acid hybridization	GSM575997	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575997.txt	normalization data transformation	GSM575997_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575996 extract 1	GSM575996 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575996 LE 1	Cy3			nucleic acid hybridization	GSM575996	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575996.txt	normalization data transformation	GSM575996_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575995 extract 1	GSM575995 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575995 LE 1	Cy3			nucleic acid hybridization	GSM575995	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575995.txt	normalization data transformation	GSM575995_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575994 extract 1	GSM575994 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575994 LE 1	Cy3			nucleic acid hybridization	GSM575994	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575994.txt	normalization data transformation	GSM575994_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575993 extract 1	GSM575993 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575993 LE 1	Cy3			nucleic acid hybridization	GSM575993	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575993.txt	normalization data transformation	GSM575993_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
