Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Cell Count]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[STARsolo Output Data]	Parameter Value[STARsolo Output Data/Barcode Stats]
RRRM2_Femur_BM_FLT_LAR_OLD_FO1	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_OLD_FO1	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			413	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_R2_raw.fastq.gz	GeneLab raw data processing protocol	602524962	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO1_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_OLD_FO4	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_OLD_FO4	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			386	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_R2_raw.fastq.gz	GeneLab raw data processing protocol	567121628	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO4_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_OLD_FO16	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_OLD_FO16	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			450	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_R2_raw.fastq.gz	GeneLab raw data processing protocol	785602000	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.63	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO16_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_OLD_FO19	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_OLD_FO19	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			433	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_R2_raw.fastq.gz	GeneLab raw data processing protocol	638210191	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_OLD_FO19_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_YNG_FY6	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_YNG_FY6	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			445	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_R2_raw.fastq.gz	GeneLab raw data processing protocol	601956857	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY6_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_YNG_FY9	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_YNG_FY9	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			379	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_R2_raw.fastq.gz	GeneLab raw data processing protocol	580896974	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY9_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_YNG_FY11	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_YNG_FY11	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			450	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_R2_raw.fastq.gz	GeneLab raw data processing protocol	782224231	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY11_Barcodes.stats
RRRM2_Femur_BM_FLT_LAR_YNG_FY14	Cell Isolation	RRRM2_Femur_BM_FLT_LAR_YNG_FY14	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			403	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_R2_raw.fastq.gz	GeneLab raw data processing protocol	556859655	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_FLT_LAR_YNG_FY14_Barcodes.stats
RRRM2_Femur_BM_GC_LAR_OLD_GO11	Cell Isolation	RRRM2_Femur_BM_GC_LAR_OLD_GO11	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			448	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_R2_raw.fastq.gz	GeneLab raw data processing protocol	647022761	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO11_Barcodes.stats
RRRM2_Femur_BM_GC_LAR_OLD_GO14	Cell Isolation	RRRM2_Femur_BM_GC_LAR_OLD_GO14	Library Construction	8000	PCR	Paired	STRANDED	Agilent 4200 Tapestation			Agilent D1000 ScreenTape Assay			354	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina Novaseq 6000	bcl2fastq	91	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNA-Seq	GLDS-402_scRNA-Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_R1_raw.fastq.gz,GLDS-402_scRNA-Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_R2_raw.fastq.gz	GeneLab raw data processing protocol	542519999	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-402_scRNA_Seq_raw_multiqc_report.zip			GeneLab scRNAseq data processing protocol	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_Aligned.out.bam,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_SJ.out.tab	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_Log.final.out	GLDS-402_scRNA_Seq_align_multiqc_report.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_GeneFull.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_Gene.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_SJ.zip,GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_Velocyto.zip	GLDS-402_scRNA_Seq_RRRM2_Femur_BM_GC_LAR_OLD_GO14_Barcodes.stats
